PODSKUPINA,Trieda,Množstvový limit,Limit Value,Limit Unit,Monthly Limit,Unit,Yearly Limit
,A8.13.4.4 Neadherentné krytie s nanokryštalickým striebrom do 100 cm2 vrátane,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.13.4.5 Neadherentné krytie s nanokryštalickým striebrom nad 100 cm2 vrátane,,,,,,
,A8.13.6 Mechanické čistenie rán,Potrebné množstvo zdravotníckych pomôcok musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise. Maximálne 1 ks na 1 preväz. Počet preväzov za mesiac poznačí lekár do dokumentácie.,1.0,ks na jeden preväz. Počet preväzov za mesiac poznačí lekár do dokumentácie.,,,
,A8.14.1 Kolagénové krytie v spreji,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.14.2 Kolagénové krytie plošné,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.15.1 Pomôcky do ústnej dutiny gélové,podľa potreby na základe zdravotného stavu,,,,podľa potreby,
,A8.15.2 Pomôcky do ústnej dutiny so zmenou pH,podľa potreby na základe zdravotného stavu,,,,podľa potreby,
,A8.16 Celulózové krytie,podľa potreby na základe zdravotného stavu,,,,podľa potreby,
,A8.17 Biokeramické krytie,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.18.1 Krytia na báze medu s peroxidovou antibakteriálnou aktivitou; Krátkodobá peroxidová aktivita (do 5 dní) do 100 cm2,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac)",,,,,
,"A8.18.2.1 Krytia na báze medu s neperoxidovou antibakteriálnou aktivitou, krytia do 100 cm2","Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,"A8.18.2.2 Krytia na báze medu s neperoxidovou antibakteriálnou aktivitou, krytia nad 100 cm2","Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.18.3.1 Amorfné krytia na báze medu s peroxidovou antibakteriálnou aktivitou,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.18.3.2 Amorfné krytia na báze medu s neperoxidovou antibakteriálnou aktivitou,"Potrebné množstvo zdravotníckych pomôcok na vlhké hojenie rán musí lekár zdôvodniť v zdravotnej dokumentácii pri každom predpise (veľkosť rany, veľkosť a množstvo materiálu, potrebného na 1 preväz, nevyhnutnú frekvenciu preväzov počas určeného obdobia do ďalšieho predpisu – spravidla mesiac).",,,,,
,A8.19 Systém na podtlakové hojenie rán,1 set obsahujúci 1 pumpa + 2 krytia na 7 dní jednorazovo počas neprerušenej počiatočnej fázy liečby rany,1.0,pumpa + 2 krytia na 7 dní jednorazovo počas neprerušenej počiatočnej fázy liečby rany,,,
,A8.19.1 Systém na podtlakové hojenie rán – podtlaková pumpa,1 pumpa na 7 dní jednorazovo počas neprerušenej počiatočnej fázy liečby rany,1.0,pumpa na 7 dní jednorazovo počas neprerušenej počiatočnej fázy liečby rany,,,
,A8.19.2 Systém na podtlakové hojenie rán – krytie na rany,2 krytia na 7 dní jednorazovo počas neprerušenej počiatočnej fázy liečby rany.,2.0,krytia na 7 dní jednorazovo počas neprerušenej počiatočnej fázy liečby rany.,,,
,A8.19.3 Systém na podtlakové hojenie rán – pena na podtlakovú terapiu,3 peny na 7 dní jednorazovo počas neprerušenej počiatočnej fázy liečby rany,3.0,peny na 7 dní jednorazovo počas neprerušenej počiatočnej fázy liečby rany,,,
A9,A9 Očný obväz,podľa potreby na základe zdravotného stavu,,,,podľa potreby,
Očný obväz,,,,,,,
A11,A11.1 Pesar  pre močovú inkontinenciu a descenzus pošvy,1 kus za rok,,,,,
,A11.2 Pesar  pre liečbu isthmocervikálnej insuficiencie,raz za graviditu,,,,,
A12,A12 Pomôcky na inhaláciu liečiva,1 kus za rok,,,,,
A13,A13.2 Zdravotnícke pomôcky na podanie infúzie,podľa potreby na základe zdravotného stavu,,,,podľa potreby,
A14,A14 Liečebná tkanina,4 kusy za rok,,,,,
A15,A15 Diagnostické náplasti,1 kus jednorazovo,,,,,
,,1 kus za rok,,,,,
B1,B1.1 Vložky pre druhý stupeň inkontinencie,,,,,,
,B1.2 Vložky pre tretí stupeň inkontinencie,,,,,,
B2,B2.1 Vkladacie plienky pre II. stupeň inkontinencie,,,,,,
,B2.2 Vkladacie plienky pre III. stupeň inkontinencie,,,,,,
B3,B3.1 Plienkové nohavičky detské,,,,,,
,B3.2 Plienkové nohavičky,,,,,,
B4,B4 Fixačné nohavičky,,,,,,
B5,B5 Podložky pod chorých,60 kusov za mesiac,60.0,kusov za mesiac,60.0,kusov,720.0
B6,B6.1 Kondómy nelepiace,30 kusov za mesiac,30.0,kusov za mesiac,30.0,kusov,360.0
,B6.2 Kondómy samolepiace,,,,,,
B7,B7 Urinálne vrecká,20 kusov za mesiac,20.0,kusov za mesiac,20.0,kusov,240.0
B8,B8 Držiak,2 kusy za rok,2.0,kusy za rok,,,
B9,B9 Pripevňovací pás,2 kusy za rok,,,,,
B10,B10.1 Pomôcky na autokatetrizáciu bez konektora,maximálne 180 ks za mesiac,180.0,ks za mesiac,,,
,"B10.1.1 Pomôcky na autokatetrizáciu bez konektora s použitím roztoku, lubrikované",,,,,,
,B10.1.3 Pomôcky pre autokatetrizáciu bez konektora na priame použitie,,,,,,
,B10.1.4 Pomôcky pre autokatetrizáciu bez konektora na priame použitie teleskopický mužský,,,,,,
,B10.1.5 Pomôcky pre autokatetrizáciu bez konektora na priame použitie teleskopický ženský,,,,,,
,B10.2 Pomôcky pre autokatetrizáciu s konektorom,maximálne 120 ks za mesiac,120.0,ks za mesiac,,,
,B10.2.1 Pomôcky pre autokatetrizáciu jednorazové s konektorom a zberným vreckom,maximálne 180 ks za mesiac,180.0,ks za mesiac,,,
B11,B11 Preplachové systémy permanentných močových katétrov,podľa potreby na základe zdravotného stavu,,,,podľa potreby,
F1,F1.1.1 Jednodielne uzavreté vrecko,90 kusov za mesiac,90.0,kusov za mesiac,90.0,kusov,1080.0
,F1.1.2 Jednodielne uzavreté vrecko s elastickým adhezívom,60 kusov za mesiac,60.0,kusov za mesiac,60.0,kusov,720.0
,F1.1.3 Jednodielne uzavreté vrecko konvexné a konkávne,90 kusov za mesiac,90.0,kusov za mesiac,90.0,kusov,1080.0
,F1.2.1 Jednodielne výpustné vrecko,90 kusov za mesiac,90.0,kusov za mesiac,90.0,kusov,1080.0
,F1.2.2 Jednodielne výpustné vrecko konvexné a konkávne,90 kusov za mesiac,90.0,kusov za mesiac,90.0,kusov,1080.0
,F1.2.3 Jednodielne výpustné vrecko s elastickým adhezívom,90 kusov za mesiac,90.0,kusov za mesiac,90.0,kusov,1080.0
,F1.3 Jednodielne urostomické vrecko,30 kusov za mesiac,30.0,kusov za mesiac,30.0,kusov,360.0
F2,"F2.1.1 Dvojdielny systém – podložka, netvarovateľná",10 kusov za mesiac,10.0,kusov za mesiac,10.0,kusov,120.0
,,15 kusov za mesiac,15.0,kusov za mesiac,15.0,kusov,180.0
,"F2.1.2 Dvojdielny systém – podložka, tvarovateľná",10 kusov za mesiac,10.0,kusov za mesiac,10.0,kusov,120.0
,,15 kusov za mesiac,15.0,kusov za mesiac,15.0,kusov,180.0
,F2.1.3 Dvojdielny systém – podložka s elastickým adhezívom,10 kusov za mesiac,10.0,kusov za mesiac,10.0,kusov,120.0
,,15 kusov za mesiac,15.0,kusov za mesiac,15.0,kusov,180.0
,F2.2.1 Dvojdielny systém – uzavreté vrecko,60 kusov za mesiac,60.0,kusov za mesiac,60.0,kusov,720.0
,F2.2.2 Dvojdielny systém – uzavreté vrecko s elastickým adhezívom,60 kusov za mesiac,60.0,kusov za mesiac,60.0,kusov,720.0
,F2.3.1 Dvojdielny systém – výpustné vrecko,90 kusov za mesiac,90.0,kusov za mesiac,90.0,kusov,1080.0
,F2.3.2 Dvojdielny systém – výpustné vrecko s elastickým adhezívom,90 kusov za mesiac,90.0,kusov za mesiac,90.0,kusov,1080.0
,F2.4.1 Dvojdielny systém – urostomické vrecko,30 kusov za mesiac,30.0,kusov za mesiac,30.0,kusov,360.0
,F2.4.2 Dvojdielny systém – urostomické vrecko s elastickým adhezívom,30 kusov za mesiac,30.0,kusov za mesiac,30.0,kusov,360.0
F3,F3.1 Čistiaci roztok a telová voda,150 ml za mesiac,150.0,ml za mesiac,150.0,ml,1800.0
,F3.2 Čistiace rúško,90 kusov za mesiac,90.0,kusov za mesiac,90.0,kusov,1080.0
,F3.3 Odstraňovač náplasti tekutý,1 kus za mesiac (nie je možná súčasná preskripcia zo skupiny F3.4),,,,,
,F3.4 Odstraňovač náplasti obrúsky,90 kusov za mesiac (nie je možná súčasná preskripcia zo skupiny F3.3),90.0,kusov za mesiac (nie je možná súčasná preskripcia zo skupiny F3.3),90.0,kusov,1080.0
F4,F4.1 Pasta alebo zásyp,360 g za rok,360.0,g za rok,30.0,g,360.0
,F4.2 Ochranný krém,1 kus za mesiac,,,,,
,F4.3 Ochranný sprej,1 kus za mesiac (nie je možná súčasná preskripcia zo skupiny F4.4),,,,,
,F4.4 Ochranný film,90 kusov za mesiac (nie je možná súčasná preskripcia zo skupiny F4.3),90.0,kusov za mesiac (nie je možná súčasná preskripcia zo skupiny F4.3),90.0,kusov,1080.0
,F4.5 Ochranné rúško,120 kusov za rok,120.0,kusov za rok,10.0,kusov,120.0
,F4.6 Pohlcovač pachu,1 kus za mesiac,,,,,
,F4.7 Uhlíkový filter,50 kusov za mesiac,50.0,kusov za mesiac,50.0,kusov,600.0
F5,F5 Pásy a prídržné prostriedky pre somikov,2 kusy za rok,,,,,
F6,F6.1 Vkladací krúžok,10 kusov za mesiac,10.0,kusov za mesiac,10.0,kusov,120.0
F7,F7.1 Irigačná súprava,1 kus za 3 roky,,,,,
,F7.2.1 Odvodné vrecko,15 kusov za mesiac,15.0,kusov za mesiac,15.0,kusov,180.0
,F7.2.2 Nádržka,1 kus za rok,,,,,
,F7.2.3 Zavádzací kónus,1 kus za rok,,,,,
,F7.2.4 Krúžok prítlačný,1 kus za rok,,,,,
F8,F8 Krytka stómie,30 kusov za mesiac,30.0,kusov za mesiac,30.0,kusov,360.0
F9,F9 Jednodielna stomická zátka,20 kusov za mesiac,20.0,kusov za mesiac,20.0,kusov,240.0
F10,,10 kusov za mesiac,10.0,kusov za mesiac,10.0,kusov,120.0
F11,F11.1 Detský jednodielny systém,podľa potreby,,,,podľa potreby,
,F11.2 Detský dvojdielny systém – podložka,podľa potreby,,,,podľa potreby,
,F11.3 Detský dvojdielny systém – uzavreté vrecko,podľa potreby,,,,podľa potreby,
,F11.4 Detský dvojdielny systém – výpustné vrecko,podľa potreby,,,,podľa potreby,
,F11.5 Detský dvojdielny systém – urostomické vrecko,podľa potreby,,,,podľa potreby,
J1,J1.2 Obuv ortopedická s diabetickou úpravou,1 pár za 2 roky,2.0,roky,,,
J2,"J2 Vložky ortopedické korekčné, absorpčné",pár za rok,,,,,
J3,J3 drobné pomôcky na nohu,1 kus za rok,,,,,
J4,J4.1.1 ortézy členka bez výstuže,1 kus za rok,,,,,
,J4.1.2 Ortézy členka s výstužou,1 kus za rok,,,,,
,J4.2 Ortézy proti prepadávaniu chodidla,1 kus za rok,,,,,
,J4.3.1 Ortézy kolenného kĺbu bez výstuže,1 kus za rok,,,,,
,"J4.3.2 Ortézy kolenného kĺbu s bočnou výstužou, dlahami bez kĺbu",1 kus za rok,,,,,
,"J4.3.3 Ortézy kolenného kĺbu s bočnou výstužou, dlahami s kĺbom",1 kus za rok,,,,,
,"J4.3.4 Ortézy kolenného kĺbu statické, imobilizačné, bez aretácie pohybu",1 kus za rok,,,,,
,J4.3.5 Ortézy kolenného kĺbu s aretáciu pohybu,1 kus za rok,,,,,
,J4.3.6 Ortézy kolenného kĺbu na stabilizáciu pately,1 kus za rok,,,,,
,J4.5 Ostatné ortézy dolných končatín,1 kus za rok,,,,,
J5,J5.1.1 Ortézy zápästia a ruky bez výstuže,1 kus za rok,,,,,
,J5.1.2 Ortézy zápästia a ruky s výstužou,1 kus za rok,,,,,
,J5.2 Ortézy prstov,1 kus za rok,,,,,
,J5.3.1 Ortézy lakťa bez výstuže,1 kus za rok,,,,,
,J5.3.2 Ortézy lakťa s bočnou výstužou dlahami,1 kus za rok,,,,,
,J5.3.3 Ortézy lakťa s nastaviteľným rozsahom pohybu,1 kus za rok,,,,,
,J5.4 Epikondylické pásky,1 kus za rok,,,,,
,J5.5 Ortézy pleca,1 kus za rok,,,,,
,J5.6 Závesné a fixačné bandáže,1 za rok,,,,,
J6,J6.1.1 Ortézy krčnej chrbtice nevystužené mäkké,1 kus za rok,,,,,
,J6.1.2 Ortézy krčnej chrbtice vystužené,1 kus za rok,,,,,
,J6.1.3 Ortézy krčnej chrbtice vystužené s otvorom na tracheostómiu,1 kus za rok,,,,,
,J6.2.1.1 Pásy bedrové neoprénové nevystužené,1 kus za rok,,,,,
,J6.2.1.2 Pásy bedrové neoprénové vystužené,1 kus za rok,,,,,
,J6.2.2.1 Pásy bedrové textilné pružné bez výstuže,1 kus za rok,,,,,
,J6.2.2.2 Pásy bedrové textilné pružné vystužené,1 kus za rok,,,,,
,"J6.2.3. Pásy bedrové textilné nepružné, pevné",1 kus za rok,,,,,
,J6.3.1 Pásy brušné bez chrbtovej výstuže a podpinky,1 kus za rok,,,,,
,J6.3.2 Pásy brušné bez chrbtovej výstuže s podpinkou,1 kus za rok,,,,,
,J6.3.3 Pásy brušno-bedrové/s bedrovou výstužou,1 kus za rok,,,,,
,J6.4.1 Pásy prietržové slabinové,1 kus za rok,,,,,
,J6.4.2 Pásy prietržové brušné,1 kus za rok,,,,,
,J6.5 Suspenzory,1 kus za rok,,,,,
,J6.6 Napomínacie bandáže,1 kus za rok,,,,,
,J6.7 Ortézy trupu a panvy,1 kus za rok,,,,,
,J6.8 Ostatné ortézy trupu a panvy,1 kus za rok,,,,,
J7,J7.1 abdukčné pomôcky I,1 kus za rok,,,,,
,J7.2 abdukčné pomôcky II,1 kus za rok,,,,,
J8,J8.1 návleky kýpťové,8 kusov za rok,,,0.6666666666666666,kusov,8.0
J11,"J11.1.1 Látky invazívne aplikované intraartikulárne pre malé kĺby (od členka k prstom, včítane členka a od zápästia k prstom včítane zápästia, čeľusť/TMK)","jedna liečebná kúra 3 injekcie za 6 mesiacov, poškodenie kostnej chrupavky (chondropatia I-III) verifikovaná klinicky, röntgenologicky",,,,,
,"J11.1.2.1 Látky invazívne aplikované intraartikulárne liečebná kúra 3 injekcie za 6 mesiacov pre veľké kĺby (rameno, lakeť, bedro a koleno)","jedna liečebná kúra 3 injekcie do 2,5 ml za 6 mesiacov, poškodenie kostnej chrupavky (chondropatia I-III) verifikovaná klinicky, röntgenologicky alebo artroskopicky",2.5,"ml za šesť mesiacov, poškodenie kostnej chrupavky (chondropatia I-III) verifikovaná klinicky, röntgenologicky alebo artroskopicky",,,
,"J11.1.2.2 Látky invazívne aplikované intraartikulárne – liečebná kúra jedna injekcia za 6 mesiacov pre veľké kĺby (rameno, lakeť, bedro a koleno)","jedna liečebná kúra jedna injekcia do 6 ml za 6 mesiacov, poškodenie kostnej chrupavky (chondropatia I-III) verifikovaná klinicky, röntgenologicky alebo artroskopicky",6.0,"ml za šesť mesiacov, poškodenie kostnej chrupavky (chondropatia I-III) verifikovaná klinicky, röntgenologicky alebo artroskopicky",,,
,"J11.1.2.3 Látky invazívne aplikované intraartikulárne – liečebná kúra na 12 mesiacov pre veľké kĺby (rameno, lakeť, bedro a koleno)","jedna liečebná kúra za dvanásť mesiacov, poškodenie kostnej chrupavky (chondropatia I-III) verifikovaná klinicky, röntgenologicky alebo artroskopicky",,,,,
,J11.2 Látky invazívne aplikované intravezikálne,jedna liečebná kúra (6 injekcií) za 3 mesiace,,,,,
J13.1,J13.1 Hromadne vyrábané ortopedicko-protetické pomôcky a príslušenstvo k nim,2 páry za rok u diabetikov so známkami diabetickej nohy,2.0,páry za rok u diabetikov so známkami diabetickej nohy,,,
K1,K1.1 Palice jednoduché,1 kus za 2 roky,,,,,
,K1.2 Palice s trojbodovou a viacbodovou oporou,"1 kus za 2 roky gumy, na palice 4 kusy za rok",,,,,
,"K1.3 Palice pre nevidiacich, orientačné",2 kusy za rok,,,,,
,"K1.4 Palice pre nevidiacich, signalizačné",2 kusy za rok,,,,,
,"K1.5 Palice pre nevidiacich, oporné",1 kus za 2 roky,,,,,
K2,K2.1 Barly predlakťové pre dospelých,pár alebo kus za 2 roky,,,,,
,K2.2 Barly predlakťové detské,,,,,,
,K2.3 Barly podpazušné pre dospelých,,,,,,
,K2.4 Barly podpazušné pre dospelých malá,,,,,,
,K2.5 Barly podpazušné pre dospelých stredná,,,,,,
,K2.6 Príslušenstvo a doplnky,,,,,,
K3,"K3.1.1 Podušky, podložky a vankúše antidekubitné, polohovacie – malé jednoduché dĺžka strany 60 cm",2 kusy za ro,,,,,
,"K3.1.2 Podušky, podložky a vankúše antidekubitné, polohovacie – malé dĺžka strany 60 cm",2 kusy za rok,,,,,
,"K3.1.3 Podušky, podložky a vankúše antidekubitné, polohovacie – stredné dĺžka strany 60-120 cm",2 kusy za rok,,,,,
